Cliente;Nombre ;Poblacion;CP;Rg;Calle;NIF;TipoNIF
4000000005;IPS MEVISALUD S A S;BOGOTA;11001;11;CL 13 28 61;9006314882;NI
4000000430;ANGEL DIAGNOSTICA S.A;CALI;76001;76;AV 2 NORTE 22 19 CALI;8050135918;NI
4000000432;CLINICA UNIVERSIDAD DE LA SABANA;BOGOTA;11001;11;AUT RTE KM 21 VIA LA CARO CHIA;8320031673;NI
4000000433;HOSPITAL UNIVER CLINICA SAN RAFAEL;BOGOTA;11001;11;CR 8 17 45;8600158889;NI
4000000435;CLINICA MAGDALENA;BOGOTA;11001;11;CL 39 14 34;8605020922;NI
4000000436;IPS SOCIEDAD MEDICA INTEGRAL;BOGOTA;11001;11;CL 39 SUR 52C 05;9003993629;NI
4000000437;FUNDACION SALUD BOSQUE;BOGOTA;11001;11;CL 134 7 B 41;8301388025;NI
4000000438;EUSALUD LTDA;BOGOTA;11001;11;CR 9 66 10;8002270728;NI
4000000439;UNIPSALUD 2000 GUADUAS IPS LTDA;BOGOTA;11001;11;CL 1 422 29 MUNICIPIO GUADUAS;9002637405;NI
4000000442;CLINICA LOS NOGALES S.A.S;BOGOTA;11001;11;TV 23 94A 39;9002910184;NI
4000000443;IPS ESPECIALIZADA SA;BOGOTA;11001;11;CL 12 C 79 A 25 BG 25;9002939234;NI
4000000445;GINESALUD;BOGOTA;11001;11;CR 32 1004 LC 104;9003801541;NI
4000000446;JAVESALUD-FUND-JAVERIANA CARLOS MAR;BOGOTA;11001;11;CL 102 A 47 A 42;8300183051;NI
4000000450;FUNDACION ABOOD SHAIO .;BOGOTA;11001;11;DG 115 A 70 C 75;8600066569;NI
4000000451;FUNDACION CARDIO INFANTIL .;BOGOTA;11001;11;CL 163 A 13 B 60;8600359922;NI
4000000452;REHAB-INTEG-INFANTIL ESPECIALIZADA;BOGOTA;11001;11;CL 119 11 B 67;9002478223;NI
4000000453;VITAL HEALTH;BOGOTA;11001;11;CL 30 1770;9002820390;NI
4000000454;LIGA NORTE SANT-LUCHA CONTRA CANCER;BOGOTA;11001;11;CL 12 238 BARRIO LA PLAYA;8905008935;NI
4000000456;SERV-AEREO MEDICALIZADO-FUNDAMENTAL;BOGOTA;11001;11;AC 26 103 10 IN 27 1 EN 1;9004583124;NI
4000000457;FAMICARE CLINICA DIA LTDA;BOGOTA;11001;11;CR 16 80 25;8301226082;NI
4000000461;INSTITUTO CALDENSE DE PATOLOGIA;MANIZALES;17001;17;CL 55 2467;8001768683;NI
4000000462;CORPORACION SALUD UNIVERSIDAD NACIO;BOGOTA;11001;11;CLL 44 59 75;9005781050;NI
